,Email,Code_Postal,Ville,Entreprise_name
308,lanegresses.a.r.l@yahoo.fr; ottoucressence@hahoo.fr,B.P.15668, DOUALA,PREMIUM FINANCIAL
309,Douala,"Rue des Ministres, Bonanjo",B.P. 829,PRICEWATERHOUSECOOPERS TAX & LEGAL
310,Yaoundé,Bastos Ecole Publique,,PRODIGY AVIATION SOLUTIONS
311,,,,PROMETAL
312,lanouvelleexpression2005@yahoo.fr; setchounkeu@yahoo.fr,, DOUALA,PROMODIS AFRIQ SARL
313,lapasta@cadyst-invest.com,B.P. 1887, DOUALA,PROXIMITY CARE SARL
314,victoirelajoie@premier-africa.com,, DOUALA,RAZEL CAMEROUN
315,infosolution@solutionchimie.com; jeanbosconjoya@solutionchimie.com,B.P. 7846, DOUALA,"REPTIC.CM (Réseau des Professionnels du Secteur des Télécoms, des TIC et du Numérique du Cameroun.) "
316,biopharma@camnet.cm,B.P.1674, DOUALA,ROYAL CHIMIE S.A
317,roger.nono@lmtgroup.com,BP 14183, YAOUNDE,RW KING
318,logicalinvestmentsarl@gmail.com,B.P. 18150, DOUALA,SAAGRY SARL
319,contact@longstarafrica.com,645, Douala,SAAR (Société Africaine d'Assurance et de Réassurances)
320,agence.lothe@yahoo.fr,B.P. 12727, YAOUNDE,SAB SARL (SIANTOU AFRICA BUILDING)
321,,12414, Douala,SABC (Société Anonyme des Brasseries du Cameroun)
322,Douala,"Rue des Ministres, Bonanjo",B.P. 829,SAE SA (SOCIETE AGROALIMENTAIRE EQUATORIALE)
323,Yaoundé,Bastos Ecole Publique,,SAFACAM (Société Africaine Forestière et Agricole du Cameroun)
324,,,,SAFCA - CAHIERS
325,contact@stemahima.com,B.P. 15430, DOUALA,SAGEMCOM Cameroun
326,begesth@yahoo.fr,B.P. 12472, DOUALA,SAICAM SARL
327,matlec@matlec.com,, DOUALA,SANLAM ASSURANCES
328,info@mazars.cm,B.P.3791, DOUALA,SANLAM LIFE
329,smaputh@hotmail.com,B.P.4327, DOUALA,SANOFI AFC
330,carole@me-msolutions.com; carolembessa@hotmail.com,BP 1717, YAOUNDE,SAPACI SARL (Société Africaine des Produits Alimentaires CIAMS Industries)
331,doohcollins@mediapluscam.com,B.P. 425, DOUALA,SAPTRANS
332, infos@medicare-group.org,, Douala,SCADTC (Syndicat des Commissionnaires Agrées en  Douane et  Transitaire du Cameroun)
333,claudelen.maellet@melodius.fr,B.P., YAOUNDE,SCB Cameroun (Societe Commerciale  de Banque Cameroun)
334,info@metch-elec.com; metchelecdla@yahoo.fr,, DOUALA,SCDP (Société Camerounaise des Dépôts Pétroliers)
335,Douala,"Rue des Ministres, Bonanjo",B.P. 829,SCI IMMO 2000
336,Yaoundé,Bastos Ecole Publique,,SCI PARADICIO
337,,,,SCIEC (SYNDICAT DES COMMERCANTS IMPORTATEURS EXPORTATEURS DU CAMEROUN)
338,metropolitan_secretariat@yahoo.com; metropolitan_sm@yahoo.com,B.P.398, LIMBE,SCIN (Societe Camerounaise d'intermediation et de négoce)
339,misterclean87@gmail.com,B.P. 09, DOUALA,SCR MAYA & Co (Société Camerounaise de Raffinage MAYA et Cie)
340,info@mitchimie.com; emmanuelwafo@mitchimie.com,B.P. 8722, DOUALA,SCS (SOCIETE CAMEROUNAISE DE SAVONNERIE)
341,mmc.contact@mtn.com,15574, Douala,SCTM (Société Camerounaise de Transformation Métallique)
342,molige_sarl@yahoo.fr,B.P.12028, DOUALA,SDAD (Société de Distribution & d'Achats Divers)
343,contact@mpsolutions.org,, Douala,SDCRA
344,cmt.info@msc.com,, Douala,SECA ( Services Camerounais d'Assainissement )
345,infos@msmi-cameroun.com,B.P. 7584, DOUALA,SECEL
346,mta.cameroun@mta-dc.com,B.P. 4448, DOUALA,SECURITY SERVICES GROUP
347,Suzanne.Hot@mtn.com; marie-louise.nkembe@mtn.com; yetna_d@mtncameroon.net,B.P. 15574, Douala,SEMAGRI Sarl
348,Douala,"Rue des Ministres, Bonanjo",B.P. 829,SEREMAC Sarl
349,Yaoundé,Bastos Ecole Publique,,SFID S.A.
350,,,,SGMC (Société les Grands Moulins du Cameroun)
351,fatime.karagama@multiprint.cm; commerciaux@multiprint.cm,B.P. 5238 Douala-Cameroun, DOUALA,SGS CAMEROUN S.A.
352,nino@nacydate.com,, DOUALA,SHOOTING STAR
353,"nalbusiness@nalbusiness.cm, L.nintcheu@nalbusiness.cm",B.P. 1628, DOUALA,SIC (Société Immobilière du Cameroun)
354,contact@name-recycling.com,112878, LIMBE,SIC CACAOS
355,infi@nfcbanksa.com,B.P. 6578, YAOUNDE,SIKA CAMEROON
356,siege.nestlecameroun@cm.nestle.com,B.P. 2622, DOUALA,SIMTECH-3D  SARL
357,charles.kooh@newko-cm.com ;  ckooh2@yahoo.fr,B.P. 1227, DOUALA,SIPP (SOCIETE INDUSTRIELLE DES PRODUITS PHARMACEUTIQUES)
358,infos@nezafi.com,, YAOUNDE,SIVO CENTRAL AFRICA
359,"reservations@noubouinternationalhotel.com,",B.P: 4168, DOUALA,SMPC (Société Moderne du Pneumatique Camerounais)
360,"esther.tiako@groupensia.com, nsia.cm@groupensia.com",B.P. 2759, DOUALA,SMS CAMEROUN
361,Douala,"Rue des Ministres, Bonanjo",B.P. 829,SMT
362,Yaoundé,Bastos Ecole Publique,,SNAVTC (Syndicat Nationale des Agences de Voyage et de Tourisme du Cameroun)
363,,,,SNI (Société Nationale des Investissements)
364,ntc@camnet.cm,B.P. 15345, DOUALA,SNTS (Société Nationale de Transit et de Services)
365,contact@oapa-abcs.org,, YAOUNDE,SOACAM (SOCIETE ALIMENTAIRE DU CAMEROUN)
366,info@oasismotors.com,, DOUALA,SOCAPALM (Société Camerounaise des Palmeraies)
367,h.assi@okfoods-cam.com,, DOUALA,SOCARTO (Sté Camerounaise de Cartonnages et de Fournitures de matériel  scolaire & Bureau)
368,info@okplastcam.com,B.P. 3033, DOUALA,SOCATAM
369,oakalla@okalla-ahanda.com,B.P. 12628, DOUALA,SOCATUR S.A.
370,"cameroon@olamnet.com; alaindidier.b@olamnet.com, olamcameroun@damnet.com ",B.P. 5207, DOUALA,SOCIETE  QUIFEUROU
371,omed.douala@yahoo.com,, DOUALA,Société 8P Transit S.A
372,jdchepda@omoa-group.com,12580, Douala,SOCIETE DES ETABLISSEMENTS MONKAM (SEM)
373,oneworldbusiness@oneworld-b.com,BP 15688, DOUALA,SOCIETE DES PARCS A BOIS DU CAMEROUN
374,Douala,"Rue des Ministres, Bonanjo",B.P. 829,SOCIETE GENERALE CAMEROUN (SGC)
375,Yaoundé,Bastos Ecole Publique,,Société Nationale de Transit et de Services (SNTS)
376,,,,Société TCHIN-PAS SARL
377,onzfi@onzfi.org; rtchouanga@yahoo.fr,B.P. 925, DOUALA,SOCIETE TIGUI SA
378,samuel.ngondi@orange.com,B.P. 1864, DOUALA,SOCIPEC SARL
379,contact@omcsarl.com / bassoro@omcsarl.com,BP : 2096 Douala, Douala,SOCOMAR SA
380,contact@pak.cm,203 , Kribi,SODECOTON (Société de Développement du Coton du Cameroun)
381,pamol-lbe@pamol-plantations.com;  pamol-dla@pamol-plantation.com,B.P. 5483, DOUALA,SOFITOUL S.A.
382,contact@paness.net,B.P. 5528, DOUALA,SOGECO
383,panzanicameroun@cadyst-invest.com,B.P. 848, DOUALA,SOLEVO CAMEROUN
384,jekeke@cm.perenco.com,B.P. 12554, DOUALA,SOLEX SARL
385,support@perfectservicessarl.com,6736, Douala,SONARA  (Société Nationale de Raffinage)
386,info@perfitcom.com,665 Rue Boue de Lapayrere, Douala,SOREPCO
387,Douala,"Rue des Ministres, Bonanjo",B.P. 829,SOSUCAM (Société Sucrière du Cameroun)
388,Yaoundé,Bastos Ecole Publique,,SOURCE DU PAYS
389,,,,SOYA BEANS PROCESSING INDUSTRY OF CAMEROON (SOPROICAM) S.A
390,petrolex@petrolex.net,B.P. 1590, DOUALA,SPECTRUM SARL
391,r.temkou@phpcam.net,B.P. 15317, DOUALA,SPEED APPRO
392,"henritafou@yahoo.fr, pigierdouala@yahoo.fr, pigierdouala@pigiercam.com ",B.P. 1133, DOUALA,ST DIGITAL
393,dir.general@plasticam.net; d.plasticam@gmail.com,B.P. 4071, DOUALA,STANDARD CHARTERED BANK CAMEROON S.A.
394,polypharma90@polypharma90.com,B.P.8143, DOUALA,STYLE.COM SARL
395,pommerougecm@gmail.com,1099, Douala,SUMOCAM ( Sucreries Modernes du Cameroun )
396,pad@portdedouala.cameroun.com,B.P. 4020, DOUALA,SUMU ASSURANCES VIE CAMEROUN
397,info@assacam.com,B.P. 1567, DOUALA,SUNDA Cameroun Ltd
398,mirelle.ngani@premium-financial.com,, DOUALA,SUNU CAMEROUN
399,nadine.tinen@cm.pwc.com,, DOUALA,SYNDUSTRICAM (Syndicat des Industriels du Cameroun)
400,Douala,"Rue des Ministres, Bonanjo",B.P. 829,SYPRODIS
401,Yaoundé,Bastos Ecole Publique,,TAC (Tôles et Aciers du Cameroun)
402,,,,TAF INVESTMENT GROUP
403,info@prodigyaviationsolutions.com / idriss@prodigyaviationsolutions.com,5754, DOUALA,TECHNOLOGIE ZENTRUM SARL
404,info@prometal-cm.com,, DOUALA,TEFON HR
405,ngouchet@yahoo.fr,B.P.8928, DOUALA,TELCAR COCOA LTD
406,proximitycare2013@yahoo.com / proximitycare2013@gmail.com,B.P: 1056, DOUALA,THELI RP
407,"yleferec@razel.fr, fngono@razel.fr",B.P. 11306, YAOUNDE,TOTALENERGIES MARKETING CAMEROUN S.A.
408,contact@reptic.cm ; reptic.cm@gmail.com ; pfkamanou@gts-infotel.com ,, YAOUNDE,TPM SA (Transformation of Plastics and Metals)
409,info@royalchimie-phyto.cm / royal.chimie@gmail.com,5724, DOUALA,TRACTAFRIC EQUIPEMENT
410,"rwking@rwkingcam.com, claude.ngankeng@rwkingcam.com ",, DOUALA,TRADE WOOD & SERVICES Sarl
411,"info@saagry.cm, saagry@yahoo.fr",B.P. 15170, DOUALA,TRADIMCO SARL (TRADING MANAGEMENT COMPANY)
412,gkagou@saar-assurances.com; yvymai@yahoo.fr; contact@saar-assurances.com,B.P. 1011, DOUALA,TRANSIMAR SA
413,Douala,"Rue des Ministres, Bonanjo",B.P. 829,TRANSIMEX CAMEROUN
414,Yaoundé,Bastos Ecole Publique,,TROPIK INDUSTRIES CAMEROUN
415,,,,UBA (United Bank for Africa)
416,sabinternational2015@gmail.com,, Yaoundé,UBC (UNION BANK OF CAMEROON PLC)
417,rmfondja@sabc-cm.com,B.P. 4036, DOUALA,UCAM (UNION DES CONSIGNATAIRES ET ARMATEURS DU CAMEROUN)
418,sae@cadyst-invest.com,BP 1781, DOUALA,UCB (Union Camerounaise de Brasseries)
419,myateng@safacam.com,, DOUALA,UNALOR (Union Allumettière Equatoriale)
420,safca3@yahoo.fr,B.P. 1485, DOUALA,UNITED BUSINESS MACHINES
421,boubacar.diandy@sagemcom.com,, Douala,UTI ( Union Trading International)
422,saicamco@yahoo.fr,, Bafoussam,UTSCH CAMEROUN
423,cameroun@sahamassurance.com,BP 12125, Douala,VELIA SARL
424,martin.foncha@sahamassurance.com,B.P.267, DOUALA,WARTSILA
425,"guy-olivier.mbianda@sanofi.com, marie.ndengue@sanofi.com",B.P. 929, DOUALA,WCI (WORLD CAR INDUSTRY )
426,Douala,"Rue des Ministres, Bonanjo",B.P. 829,WIJMA CAMEROUN S.A.
427,Yaoundé,Bastos Ecole Publique,,WILLIS TOWERS WATSON CAMEROUN
428,,,,WISDOM INTERNATIONAL
429,sapaci2000@yahoo.fr,, ,YOOMEE Cameroun
430,"contact@sapougroup.cm, sapou.etienne@sapougroup.cm",B.P. 191, Douala,YUP CAMEROUN S.A
431,syndmar_gpac@yahoo.fr,B.P. 73, DOUALA,ZATI CONSTRUCTIONS
432,ca_scb@scbcameroun.com,B.P. 300, Douala,ZENITHE INSURANCE SA
433,sdg-scdp@yahoo.fr/blaiseatangana2010@hotmail.fr,B.P. 2271, DOUALA,
434,fondjajules@yahoo.fr,B.P 15330, DOUALA,
435,mbogo_flamboyant@yahoo.fr,13592, YAOUNDE,
436,gicam@legicam.org,B.P. 829, DOUALA,
437,scinafrique@yahoo.fr,, DOUALA,
438,"scrmaya@camnet.cm; transitscrm@hotmail.com, secretariatdg@scrmaya.com",B.P. 2851, DOUALA,
439,Douala,"Rue des Ministres, Bonanjo",B.P. 829,
440,Yaoundé,Bastos Ecole Publique,,
441,,,,
442,scs.sarl@yahoo.fr,, BAFOUSSAM,
443,sctm_2004@yahoo.fr,B.P. 9091, DOUALA,
444,ssdadsarl@yahoo.com,B.P. 8693, DOUALA,
445,sdcrasarl1@gmail.com/ moboustella@yahoo.fr,3099, DOUALA,
446,seca.hysacam@gmail.com,B.P.2172, DOUALA,
447,infodla@secelgroup.com; infosyde@secelgroup.com,, DOUALA,
448,ssgcameroon@ymail.com,BP 4997, DOUALA,
449,"semagri@semagricmr.com, alain.kanmegne@agrivisionsmr.com ",B.P. 5655, DOUALA,
450,seremac.sarl@yahoo.fr,B.P.7505," YAOUNDE, Ngousso, derrière station blessing",
451,info-sfid@groupe-rougier.com,B.P. 1343, DOUALA,
452,Douala,"Rue des Ministres, Bonanjo",B.P. 829,
453,Yaoundé,Bastos Ecole Publique,,
454,,,,
455,directionsgmc@sgmc.somdiaa.com,B.P. 3509, DOUALA,
456,edith.bebey@sgs.com; annie.joky@sgs.com ,DG , DOUALA,
457,sstar@camnet.cm,, DOUALA,
458, info@sic.cm,B.P. 387, YAOUNDE,
459,pierluigi_passera@barry-callebaut.com ,B.P. 570, DOUALA,
460,ndame.emelienne@cm.sika.com / kamdem.eric@cm.sika.com,BP 1049, DOUALA,
461,info@simtech3d.com,B.P. 8210, DOUALA,
462,"sipp@sippcameroun.com, sboubakary@cadyst-invest.com",BP 4403, YAOUNDE,
463, mohamed.agrebi@essilor.com,, Douala,
464,cyil.fahy@michelin.com,, DOUALA,
465,Douala,"Rue des Ministres, Bonanjo",B.P. 829,
466,Yaoundé,Bastos Ecole Publique,,
467,,,,
468,"info@smscameroun.com, fpaliliki@smscameroun.com",B.P. 3825, DOUALA,
469,"jerome.francois@smt-group.com, info.africa@smt.network ",3553," DOUALA, CAMEROUN",
470,,BP 5336, DOUALA,
471,sni@sni.cm,B.P. 423, YAOUNDE,
472,marie.bell@camnet.cm / sntsnordsudcti@yahoo.fr,1341, DOUALA,
473,soacam@yahoo.fr / alcali.amine@soacam.cm,17355, DOUALA,
474,socapalm@socapalm.com; rlienou@socapalm.org,B.P. 691, DOUALA,
475,"contact@socarto.com,  jean-jacques.epee-same@socarto.com , jeanjacquessameepee@yahoo.fr",B.P. 5028, DOUALA,
476,contact@socatam.com,B.P. 3941, DOUALA,
477,socatur@hotmail.fr; lydienne_nb@yahoo.fr,B.P. 1347, DOUALA,
478,Douala,"Rue des Ministres, Bonanjo",B.P. 829,
479,Yaoundé,Bastos Ecole Publique,,
480,,,,
481,emmanuel.peughouia@groupequifeurou.com;,B.P 6787, Douala,
482,societe8ptransit@yahoo.fr,13224, Douala,
483,infos@groupemonkam.com,B.P.: 5300 Douala-Cameroun, DOUALA,
484,sepbc.cameroun@bollore.com,, Douala,
485,mareme.mbaye@socgem.com,B.P. 4042, DOUALA,
486,mame.bell@camnet.cm,, DOUALA,
487,clovislontsi@icloud.com,30324, YAOUNDE,
488,fant.said@gmail.com,BP 566, YAOUNDE,
489,tacicam@yahoo.fr,B.P. 12132, DOUALA,
490,socinfo@socomar-cameroun.com,, DOUALA,
491,Douala,"Rue des Ministres, Bonanjo",B.P. 829,
492,Yaoundé,Bastos Ecole Publique,,
493,,,,
494,sodecoton@sodecoton.cm,B.P. 302, GAROUA,
495,info@sofitoul.com,B.P. 20062, Yaoundé,
496,"cmoumbe07@yahoo.fr, sogecobafoussam@yahoo.fr",, ,
497,helene.dimene@solevogroup.com,B.P. 2368, DOUALA,
498,info@solextgv.com,BP 15814, DOUALA,
499, contact@sonara.cm,B.P. 365, LIMBE,
500,sorepco.sa@gmail.com,B.P. 2854, DOUALA,
501,yde-secretariat@sosucam.somdiaa.com,B.P. 857, YAOUNDE,
502,fakhouryali@hotmail.fr; secretariat.direction@sourcedupays.com,B.P.914, DOUALA,
503,info@soproicam.cm,13135, Douala,
504,Douala,"Rue des Ministres, Bonanjo",B.P. 829,
505,Yaoundé,Bastos Ecole Publique,,
506,,,,
507,,4883, DOUALA,
508,speed.appro@netcourrier.com; speed.appro@yahoo.fr,B.P. 1923, DOUALA,
509,info@st.digital.com,, DOUALA,
510,"pascale-fride.balem@cm.standardchartered.com, marie-paul.matouke@sc.com, yimga.nyassi@sc.com, Vincent.ngimbock@sc.com, jean-arsene.yerima@sc.com",B.P. 1784, DOUALA,
511,stylecomsarl@gmail.com / didyevrard@gmail.com,, DOUALA,
512,"sodipa@camnet.cm, sumocamsarl@yahoo.fr",B.P.5802, DOUALA,
513,cameroun.vie@sumu-group.com,BP : 2153 Douala-Cameroun, Douala,
514,,, DOUALA,
515,cameroun.vie@sumu-group.com,B.P.2153 Douala-Cameroun, Douala,
516,doualasyndustricam@yahoo.fr; syndustricamyaounde@yahoo.fr,"B.P. 673 (Dla), 1516 (Ydé)", DOUALA,
517,Douala,"Rue des Ministres, Bonanjo",B.P. 829,
518,Yaoundé,Bastos Ecole Publique,,
519,,,,
520,"mouzong_jc@yahoo.fr, aminkala@yahoo.fr",, Douala,
521,tac@taccm.net,B.P. 15197, DOUALA,
522,taf@tafinvest.com,B.P. 1500, DOUALA,
523,techno_zentrum@yahoo.fr,B.P. 12503, DOUALA,
524,tefonhr@tefonservices.com,254, Douala,
525,eokie@telcarcocoa.com,B.P. 887, DOUALA,
526,quotidien_economique@yahoo.fr,B.P. 312, YAOUNDE,
527,total@total.cm,, Douala,
528,cac_vis3@yahoo.fr,, Douala,
529,contact.cameroun@tractafrictae.com,, DOUALA,
530,Douala,"Rue des Ministres, Bonanjo",B.P. 829,
531,Yaoundé,Bastos Ecole Publique,,
532,,,,
533,tws.sarl@gmail.com,B.P. 2155, DOUALA,
534,etouflo@yahoo.fr,B.P, YAOUNDE,
535,transimartransimar@yahoo.fr,B.P. 2431, DOUALA,
536,info@transimex-cm.com; ousmanou@transimex-cm.com,B.P. 3191, DOUALA,
537,akamtchouang@yahoo.fr,B.P.2895, DOUALA,
538,yves.soumelong@ubagroup.com,, DOUALA,
539,,B.P. 15569, DOUALA,
540,ucam@ucamsyndicat.net; ucamsyndicat@yahoo.com,B.P. 1401, DOUALA,
541,kadjin@sa-ucb.com; feyou@sa-ucb.com,B.P. 638, DOUALA,
542,unalor_dla@yahoo.fr; ngeudeu@yahoo.fr,B.P. 988, DOUALA,
543,Douala,"Rue des Ministres, Bonanjo",B.P. 829,
544,Yaoundé,Bastos Ecole Publique,,
545,,,,
546,contact@ubm72.com / fpetto@ubm72.com,, ,
547,direction@uticameroun.com,B.P.5327, DOUALA,
548,utschcam@yahoo.fr,B.P. 7268, DOUALA,
549,"olivierdontsop@veliasarl.com, veliasarl@yaho.fr",BP 837, DOUALA,
550,catherine.wedjou@wartsila.com,, DOUALA,
551,simotahakam@yahoo.fr; worldindustrycar@yahoo.fr,, DOUALA,
552,j.riviere@wijma.cm,B.P. 1616, DOUALA,
553,gras.savoye@cm.grassavoye.com,B.P. 3014, DOUALA,
554,julesfabricefuture@gmail.com,4731, DOUALA,
555,"eric.tamko@yoomee.cm, support@yoomee.cm",B.P. 2403, DOUALA,
556,Douala,"Rue des Ministres, Bonanjo",B.P. 829,
557,Yaoundé,Bastos Ecole Publique,,
558,,,,
559,david.ekwabi@socgen.com,4042, DOUALA,
560,zati.construction@yahoo.fr,BP 7786, DOUALA,
561, info@zenitheinsurance.com,, Douala,
562,Douala,"Rue des Ministres, Bonanjo",B.P. 829,
563,Yaoundé,Bastos Ecole Publique,,
564,,,,
