Unnamed: 0,Entreprise_name,other_link
357,SIPP (SOCIETE INDUSTRIELLE DES PRODUITS PHARMACEUTIQUES),/index.php/p/sipp-societe-industrielle-des-produits-pharmaceutiques
358,SIVO CENTRAL AFRICA,/index.php/p/sivo-central-africa
359,SMPC (Société Moderne du Pneumatique Camerounais),/index.php/p/smpc-societe-moderne-du-pneumatique-camerounais
360,SMS CAMEROUN,/index.php/p/sms-cameroun
361,SMT,/index.php/p/smt
362,SNAVTC (Syndicat Nationale des Agences de Voyage et de Tourisme du Cameroun),/index.php/p/snavtc-syndicat-nationale-des-agences-de-voyage-et-de-tourisme-du-cameroun
363,SNI (Société Nationale des Investissements),/index.php/p/sni-societe-nationale-des-investissements
364,SNTS (Société Nationale de Transit et de Services),/index.php/p/snts-societe-nationale-de-transit-et-de-services
365,SOACAM (SOCIETE ALIMENTAIRE DU CAMEROUN),/index.php/p/soacam-societe-alimentaire-du-cameroun
366,SOCAPALM (Société Camerounaise des Palmeraies),/index.php/p/socapalm-societe-camerounaise-des-palmeraies
367,SOCARTO (Sté Camerounaise de Cartonnages et de Fournitures de matériel  scolaire & Bureau),/index.php/p/socarto-ste-camerounaise-de-cartonnages-et-de-fournitures-de-materiel-scolaire-bureau
368,SOCATAM,/index.php/p/socatam
369,SOCATUR S.A.,/index.php/p/socatur-sa
370,SOCIETE  QUIFEUROU,/index.php/p/societe-quifeurou
371,Société 8P Transit S.A,/index.php/p/societe-8p-transit-sa
372,SOCIETE DES ETABLISSEMENTS MONKAM (SEM),/index.php/p/societe-des-etablissements-monkam-sem
373,SOCIETE DES PARCS A BOIS DU CAMEROUN,/index.php/p/societe-des-parcs-a-bois-du-cameroun
374,SOCIETE GENERALE CAMEROUN (SGC),/index.php/p/societe-generale-cameroun
375,Société Nationale de Transit et de Services (SNTS),/index.php/p/societe-nationale-de-transit-et-de-services-snts
376,Société TCHIN-PAS SARL,/index.php/p/societe-tchin-pas-sarl
377,SOCIETE TIGUI SA,/index.php/p/societe-tigui-sa
378,SOCIPEC SARL,/index.php/p/socipec-sarl
379,SOCOMAR SA,/index.php/p/socomar-sa
380,SODECOTON (Société de Développement du Coton du Cameroun),/index.php/p/sodecoton-societe-de-developpement-du-coton-du-cameroun
381,SOFITOUL S.A.,/index.php/p/sofitoul-sa
382,SOGECO,/index.php/p/sogeco
383,SOLEVO CAMEROUN,/index.php/p/louis-dreyfus-commodities
384,SOLEX SARL,/index.php/p/solex-sarl
385,SONARA  (Société Nationale de Raffinage),/index.php/p/sonara-societe-nationale-de-raffinage
386,SOREPCO,/index.php/p/sorepco
387,SOSUCAM (Société Sucrière du Cameroun),/index.php/p/sosucam-societe-sucriere-du-cameroun
388,SOURCE DU PAYS,/index.php/p/source-du-pays
389,SOYA BEANS PROCESSING INDUSTRY OF CAMEROON (SOPROICAM) S.A,/index.php/p/soya-beans-processing-industry-of-cameroon-soproicam-sa
390,SPECTRUM SARL,/index.php/p/spectrum-sarl
391,SPEED APPRO,/index.php/p/speed-appro
392,ST DIGITAL,/index.php/p/st-digital
393,STANDARD CHARTERED BANK CAMEROON S.A.,/index.php/p/standard-chartered-bank-cameroon-sa
394,STYLE.COM SARL,/index.php/p/stylecom-sarl
395,SUMOCAM ( Sucreries Modernes du Cameroun ),/index.php/p/sumocam-sucreries-modernes-du-cameroun
396,SUMU ASSURANCES VIE CAMEROUN,/index.php/p/sumu-assurances-vie-cameroun
397,SUNDA Cameroun Ltd,/index.php/p/sunda-cameroun-ltd
398,SUNU CAMEROUN,/index.php/p/sunu-cameroun
399,SYNDUSTRICAM (Syndicat des Industriels du Cameroun),/index.php/p/syndustricam-syndicat-des-industriels-du-cameroun
400,SYPRODIS,/index.php/p/syprodis
401,TAC (Tôles et Aciers du Cameroun),/index.php/p/tac-tles-et-aciers-du-cameroun
402,TAF INVESTMENT GROUP,/index.php/p/taf-investment-group
403,TECHNOLOGIE ZENTRUM SARL,/index.php/p/technologie-zentrum-sarl
404,TEFON HR,/index.php/p/tefon-hr
405,TELCAR COCOA LTD,/index.php/p/telcar-cocoa-ltd
406,THELI RP,/index.php/p/theli-rp
407,TOTALENERGIES MARKETING CAMEROUN S.A.,/index.php/p/total-cameroun-sa
408,TPM SA (Transformation of Plastics and Metals),/index.php/p/tpm-sa-transformation-of-plastics-and-metals
409,TRACTAFRIC EQUIPEMENT,/index.php/p/tractafric-equipement
410,TRADE WOOD & SERVICES Sarl,/index.php/p/trade-wood-services-sarl
411,TRADIMCO SARL (TRADING MANAGEMENT COMPANY),/index.php/p/tradimco-sarl-trading-management-company
412,TRANSIMAR SA,/index.php/p/transimar-sa
413,TRANSIMEX CAMEROUN,/index.php/p/transimex-cameroun
414,TROPIK INDUSTRIES CAMEROUN,/index.php/p/tropik-industries-cameroun
415,UBA (United Bank for Africa),/index.php/p/uba-united-bank-for-africa
416,UBC (UNION BANK OF CAMEROON PLC),/index.php/p/ubc-union-bank-of-cameroon-plc
417,UCAM (UNION DES CONSIGNATAIRES ET ARMATEURS DU CAMEROUN),/index.php/p/ucam-union-des-consignataires-et-armateurs-du-cameroun
418,UCB (Union Camerounaise de Brasseries),/index.php/p/ucb-union-camerounaise-de-brasseries
419,UNALOR (Union Allumettière Equatoriale),/index.php/p/unalor-union-allumettiere-equatoriale
420,UNITED BUSINESS MACHINES,/index.php/p/united-business-machines
421,UTI ( Union Trading International),/index.php/p/uti-union-trading-international
422,UTSCH CAMEROUN,/index.php/p/utsch-cameroun
423,VELIA SARL,/index.php/p/velia-sarl
424,WARTSILA,/index.php/p/wartsila
425,WCI (WORLD CAR INDUSTRY ),/index.php/p/wci-world-car-industry
426,WIJMA CAMEROUN S.A.,/index.php/p/wijma-cameroun-sa
427,WILLIS TOWERS WATSON CAMEROUN,/index.php/p/gras-savoye
428,WISDOM INTERNATIONAL,/index.php/p/wisdom-international
429,YOOMEE Cameroun,/index.php/p/yoomee-cameroun
430,YUP CAMEROUN S.A,/index.php/p/yup-cameroun-sa
431,ZATI CONSTRUCTIONS,/index.php/p/zati-constructions
432,ZENITHE INSURANCE SA,/index.php/p/zenithe-insurance-sa
